title,arxiv_id,arxiv_url,category,doc_type
"The Nucleon Axial Form Factor from Elementary Target Data",2512.14097,https://arxiv.org/abs/2512.14097,physics,primary_research
"Measurement of Charged Current Neutrino and Antineutrino Cross Sections on Hydrocarbon in a Shallow Inelastic Scattering Region",2503.20043,https://arxiv.org/abs/2503.20043,physics,primary_research
"Measurement of Electron Neutrino and Antineutrino Cross Sections at Low Energy and Momentum Transfer",2312.16631,https://arxiv.org/abs/2312.16631,physics,primary_research
"First Measurement of the Multi-Neutron Antineutrino Cross Section at Low E_available on Hydrocarbon",2310.17014,https://arxiv.org/abs/2310.17014,physics,primary_research
"Comparisons of triple-differential cross sections for quasielastic-like nu-hydrocarbon interactions using 3GeV versus 6GeV beams in MINERvA",2606.00745,https://arxiv.org/abs/2606.00745,physics,primary_research
"Improved constraint on the MINERvA medium energy neutrino flux using nuebar e- to nuebar e- data",2209.05540,https://arxiv.org/abs/2209.05540,physics,primary_research
"Simultaneous measurement of muon neutrino charged current pi+ production in carbon plastic water iron and lead targets",2209.07852,https://arxiv.org/abs/2209.07852,physics,primary_research
"Vertex finding in neutrino-nucleus interaction: A Model Architecture Comparison",2201.02523,https://arxiv.org/abs/2201.02523,physics,primary_research
"Measurement of Inclusive Charged-Current numu Scattering on Hydrocarbon Target at 6 GeV with Low Three-Momentum Transfer",2110.13372,https://arxiv.org/abs/2110.13372,physics,primary_research
"Constraint of the MINERvA Medium Energy Neutrino Flux using Inverse Muon Decay",2107.01059,https://arxiv.org/abs/2107.01059,physics,primary_research
"Measurement of Inclusive Neutrino Scattering at 6.0 GeV on a hydrocarbon target",2106.16210,https://arxiv.org/abs/2106.16210,physics,primary_research
"Measurement of proton kinetic energy simultaneously with leptonic kinematics using quasielastic-like interaction from a 6 GeV neutrino beam on a hydrocarbon target",2203.08022,https://arxiv.org/abs/2203.08022,physics,primary_research
"Double-Differential Inclusive Charged-Current numu Cross Sections on Hydrocarbon in MINERvA at 3.5 GeV",2002.12496,https://arxiv.org/abs/2002.12496,physics,primary_research
"High statistics measurement of neutrino quasi-elastic scattering for E_nu in the range 1.5-20 GeV on a hydrocarbon target",1912.09890,https://arxiv.org/abs/1912.09890,physics,primary_research
"Constraint of the MINERvA Medium Energy Neutrino Flux using Neutrino-Electron Elastic Scattering",1906.00111,https://arxiv.org/abs/1906.00111,physics,primary_research
"Nuclear binding energy and transverse momentum imbalance in neutrino-nucleus reactions",1910.08658,https://arxiv.org/abs/1910.08658,physics,primary_research
"Probing Nuclear Effects in Charged-Current Neutral Pion Production",2002.05812,https://arxiv.org/abs/2002.05812,physics,primary_research
"Measurement of anti-numu charged-current single pi- production on hydrocarbon in the few-GeV region using MINERvA",1906.08300,https://arxiv.org/abs/1906.08300,physics,primary_research
"Tuning the GENIE Pion Production Model with MINERvA Data",1903.01558,https://arxiv.org/abs/1903.01558,physics,primary_research
"Measurement of final-state correlations in neutrino muon-proton mesonless production on hydrocarbon at 3 GeV",1805.05486,https://arxiv.org/abs/1805.05486,physics,primary_research
"Neutron multiplicity in low momentum transfer anti-neutrino CH events",1901.04892,https://arxiv.org/abs/1901.04892,physics,primary_research
"Anti-neutrino reactions on scintillator with low momentum transfer",1803.09377,https://arxiv.org/abs/1803.09377,physics,primary_research
"Measurement of numu charged-current single pi0 production on hydrocarbon in the few-GeV region using MINERvA",1708.03723,https://arxiv.org/abs/1708.03723,physics,primary_research
"Direct Measurement of Nuclear Dependence of Charged Current Quasi-Elastic Interactions at MINERvA",1705.03791,https://arxiv.org/abs/1705.03791,physics,primary_research
"Measurement of a double differential cross section for neutrino induced quasielastic-like processes on hydrocarbon at an average Enu of 3.6 GeV",1811.02774,https://arxiv.org/abs/1811.02774,physics,primary_research
"Double Differential Measurement of Muon Antineutrino Quasi-Elastic Scattering on a Hydrocarbon Target at E_nu 3.5 GeV",1801.01197,https://arxiv.org/abs/1801.01197,physics,primary_research
"Measurement of the antineutrino to neutrino charged-current interaction cross section ratio on carbon",1701.04857,https://arxiv.org/abs/1701.04857,physics,primary_research
"Neutrino Flux Predictions for the NuMI Beam",1607.00704,https://arxiv.org/abs/1607.00704,physics,primary_research
"Neutrino and Antineutrino Charged Current Inclusive Cross Sections in MINERvA Using the Low-nu Flux Method",1610.04746,https://arxiv.org/abs/1610.04746,physics,primary_research
"Measurement of Total and Differential Cross Sections of Neutrino and Antineutrino Coherent pi Production on Carbon",1711.01178,https://arxiv.org/abs/1711.01178,physics,primary_research
"First Evidence of Coherent Production of K+ in Neutrino Interactions on Carbon Nuclei",1606.08890,https://arxiv.org/abs/1606.08890,physics,primary_research
"Measurement of Charged Current muon neutrino production of K+",1604.03920,https://arxiv.org/abs/1604.03920,physics,primary_research
"Neutral Current Neutrinoproduction of Kaons and Backgrounds to p to K+ nu in Water Cerenkov Detectors",1611.02224,https://arxiv.org/abs/1611.02224,physics,primary_research
"Cross sections for neutrino and antineutrino induced pion production on hydrocarbon in the few-GeV region using MINERvA",1606.07127,https://arxiv.org/abs/1606.07127,physics,primary_research
"Measurement of Partonic Nuclear Effects in Deep-Inelastic Neutrino Scattering using MINERvA",1601.06313,https://arxiv.org/abs/1601.06313,physics,primary_research
"Identification of nuclear effects in neutrino-carbon interactions at low momentum transfer",1511.05944,https://arxiv.org/abs/1511.05944,physics,primary_research
"Evidence for neutral-current diffractive pi0 production off hydrogen in neutrino interactions on a hydrocarbon target",1604.01728,https://arxiv.org/abs/1604.01728,physics,primary_research
"Measurement of electron neutrino quasielastic and quasielastic-like scattering on hydrocarbon at 3.6 GeV",1509.05729,https://arxiv.org/abs/1509.05729,physics,primary_research
"Single neutral pion production by charged current antinu interactions on plastic scintillator at Enu 4 GeV",1503.02107,https://arxiv.org/abs/1503.02107,physics,primary_research
"Measurement of Coherent Production of pi in Neutrino and Anti-Neutrino Beams on Carbon from Enu of 1.5 to 20 GeV",1409.3835,https://arxiv.org/abs/1409.3835,physics,primary_research
"Measurement of the NuMI Neutrino Flux using Neutrino-Electron Elastic Scattering",1512.07699,https://arxiv.org/abs/1512.07699,physics,primary_research
"Measurement of Charged Current Proton Production numu Scattering on Hydrocarbon at Enu 4.0 GeV",1409.4497,https://arxiv.org/abs/1409.4497,physics,primary_research
"Measurement of Ratios of Muon Neutrino Charged-Current Cross Sections on C Fe and Pb to CH at Neutrino Energies 2-20 GeV",1403.2103,https://arxiv.org/abs/1403.2103,physics,primary_research
"Charged Pion Production from CH in a Neutrino Beam",1406.6415,https://arxiv.org/abs/1406.6415,physics,primary_research
"Measurements of dsigma/dQ2 and Final State Nucleons in Muon Neutrino Quasi-Elastic Scattering on a Hydrocarbon Target",1305.2243,https://arxiv.org/abs/1305.2243,physics,primary_research
"Measurement of dsigma/dQ2 in Muon Anti-Neutrino Quasi-Elastic Scattering on a Hydrocarbon Target",1305.2234,https://arxiv.org/abs/1305.2234,physics,primary_research
"Reducing model bias in a deep learning classifier using domain adversarial neural networks in the MINERvA experiment",1808.08332,https://arxiv.org/abs/1808.08332,technical,primary_research
"Model uncertainties for Valencia RPA effect for MINERvA",1705.02932,https://arxiv.org/abs/1705.02932,technical,primary_research
"MINERvA neutrino detector response measured with test beam data",1501.06431,https://arxiv.org/abs/1501.06431,technical,primary_research
"An Error Analysis Toolkit for Binned Counting Experiments",2103.08677,https://arxiv.org/abs/2103.08677,conference,primary_research
"Probing nuclear effects using single-transverse kinematic imbalance with MINERvA",1608.04655,https://arxiv.org/abs/1608.04655,conference,primary_research
"NuSTEC White Paper: Status and Challenges of Neutrino-Nucleus Scattering",1706.03621,https://arxiv.org/abs/1706.03621,background,background
